sentence,sentiment,sentiment_label
$500K can be enough money to retire on. Even as early as age 50!,0,중립
"HBT Financial (HBT) came out with quarterly earnings of $0.62 per share, beating the Zacks Consensus Estimate of $0.57 per share. This compares to earnings of $0.49 per share a year ago. These figures are adjusted for non-recurring items.",1,호재
"Bank OZK (OZK) came out with quarterly earnings of $1.34 per share, beating the Zacks Consensus Estimate of $1.33 per share. This compares to earnings of $1.17 per share a year ago. These figures are adjusted for non-recurring items.",1,호재
"In trading on Monday, shares of AllianzGI NFJ Dividend, Interest &amp; Premium Strategy Fund (Symbol: NFJ) crossed above their 200 day moving average of $12.05, changing hands as high as $12.06 per share. AllianzGI NFJ Dividend, Interest &amp; Premium Strategy Fund shares are",0,중립
"Investment in stocks after the analysis of the valuation metrics is considered one of the best practices. When considering valuation metrics, the price-to-earnings ratio has always been the obvious choice. This is because calculations based on earnings are easy and come i",0,중립
"Technology stocks declined Thursday afternoon, with the Technology Select Sector SPDR Fund (XLK) falling 0.8% while the Philadelphia Semiconductor Index was sliding 2.2%.",2,악재
"Airbus intends to recruit more than 13,000 people globally in 2023, the European aircraft maker said in a statement on Thursday.",0,중립
Fintel&rsquo;s Officer Sentiment quant model identifies companies that experienced significant officer buying activity in the last year.&nbsp;,0,중립
"(RTTNews) - Calyxt, Inc. (CLXT), a plant-based synthetic biology company, and Cibus, a leader in precision gene editing in agriculture, announced Tuesday that both companies have entered into a definitive merger agreement under which Calyxt and Cibus will merge in an all-stock tr",0,중립
"Consumer stocks were mostly lower in Tuesday trading, with the Consumer Staples Select Sector SPDR Fund (XLP) and the Consumer Discretionary Select Sector SPDR Fund (XLY) both retreating about 0.5%.",0,중립
"DALLAS& NEW YORK---- Yotta Acquisition Corporation, a special purpose acquisition corporation announced that it has filed a Registration Statement on form S-4 in connection with its proposed acquisition of NaturalShrimp Incorporated, a biotechnology aquaculture company that has developed and patented the first shrimp-focused commercially operational...",0,중립
"Growth stocks are bouncing back in 2023, and that finds Cathie Wood's growth-investing style back in fashion. The CEO, founder, and primary analyst at Ark Invest is seeing her firm's exchange-traded funds (ETFs) start rolling again this year after back-to-back years of devastatin",1,호재
Fintel reports that BlackRock has filed a 13G/A form with the SEC disclosing ownership of 3.62MM shares of Cache Capital Corp. (CCCC). This represents 7.4% of the company.,0,중립
"InvestorPlace - Stock Market News, Stock Advice & Trading Tips",0,중립
"Technology stocks were sinking Monday afternoon, with the Technology Select Sector SPDR Fund (XLK) down 1.4% and the Philadelphia Semiconductor Index 1.8% lower.",0,중립
Axonics Modulation Technologies (AXNX) shares soared 10.6% in the last trading session to close at $61.76. The move was backed by solid volume with far more shares changing hands than in a normal session. This compares to the stock's 17% loss over the past four weeks.,1,호재
"Here are three stocks with buy rank and strong momentum characteristics for investors to consider today, January 25th:",1,호재
"As the saying goes, there are many possible reasons for an insider to sell a stock, but only one reason to buy -- they expect to make money. So let's look at two noteworthy recent insider buys. On Tuesday, BancFirst's Executive Vice President Dennis L. Brand, made a $166,000",2,악재
(RTTNews) - Flora Growth Corp. (FLGC) announced revenue guidance of $90 million to $105 million for fiscal 2023. The company noted that the revenue guidance reflects expected organic growth in the House of Brands division and expansion of the Commercial & Wholesale division capab,1,호재
"InvestorPlace - Stock Market News, Stock Advice & Trading Tips",0,중립
Fintel reports that BlackRock has filed a 13G form with the SEC disclosing ownership of 3.75MM shares of Enanta Pharmaceuticals Inc (ENTA). This represents 18.0% of the company.,0,중립
"""Most of us have heard the dictum """"the trend is your friend."""" And this is undeniably the key to success when it comes to short-term investing or trading. But it isn't easy to ensure the sustainability of a trend and profit from it.""",1,호재
"Here are three stocks with buy rank and strong momentum characteristics for investors to consider today, January 13th:",1,호재
"Investors might want to bet on Dyne Therapeutics, Inc. (DYN), as it has been recently upgraded to a Zacks Rank #1 (Strong Buy). This upgrade primarily reflects an upward trend in earnings estimates, which is one of the most powerful forces impacting stock prices.",1,호재
"Fintel reports that Royce &amp; Associates Lp has filed a 13G/A form with the SEC disclosing ownership of 710,572 shares of EVI Industries Inc (EVI). This represents 5.15% of the company.",0,중립
"Consumer stocks were broadly higher in Friday trading, with the Consumer Staples Select Sector SPDR Fund (XLP) climbing 0.3% and the Consumer Discretionary Select Sector SPDR Fund (XLY) rising 1.9%.",0,중립
"In trading on Wednesday, railroads shares were relative laggards, down on the day by about 2.1%. Helping drag down the group were shares of Norfolk Southern, down about 4.9% and shares of Canadian National Railway down about 4.5% on the day.",0,중립
(RTTNews) - The following are some of the stocks making big moves in Friday's pre-market trading (as of 07.40 A.M. ET).,0,중립
"Health care stocks were mostly higher Thursday afternoon, with the NYSE Health Care Index and the Health Care Select Sector SPDR Fund (XLV) rising about 0.5%.",0,중립
"Fintel reports that Royce &amp; Associates Lp has filed a 13G/A form with the SEC disclosing ownership of 2,503,454 shares of Intevac, Inc. (IVAC). This represents 9.84% of the company.",0,중립
"Fintel reports that Royce &amp; Associates Lp has filed a 13G/A form with the SEC disclosing ownership of 1,715,104 shares of Computer Task Group, Inc. (CTG). This represents 10.92% of the company.",0,중립
"There are three big overlooked trends in the stock market now, and by tapping each one, we can set ourselves up for some very nice long-term gains in my favorite high-yield vehicles: closed-end funds (CEFs).",1,호재
Spain's Bankinter said on Thursday its fourth-quarter net profit rose 58% from the same period in 2021 thanks to an increase in lending income.,1,호재
"Technology stocks were advancing pre-bell Tuesday, as the Technology Select Sector SPDR Fund (XLK) and the iShares Semiconductor ETF (SOXX) were both rising more than 1%.",0,중립
"Shares of Monte Rosa Therapeutics (GLUE) have gained 0.7% over the past four weeks to close the last trading session at $6.84, but there could still be a solid upside left in the stock if short-term price targets of Wall Street analysts are any indication. Going by the pr",1,호재
"InvestorPlace - Stock Market News, Stock Advice & Trading Tips",0,중립
"Healthcare stocks were hanging on for slim gains Monday, with the NYSE Health Care Index rising 0.1% and the Health Care Select Sector SPDR Fund (XLV) up 0.2%.",1,호재
_,0,중립
"""--Osisko Development Corp. announces that the Company has filed a technical report, in accordance with National Instrument 43-101? Standards of Disclosure for Mineral Projects, for the Company's 100%- owned Cariboo Gold Project, titled """" Feasibility Study for the Cariboo Gold Project, District of Well, British Columbia, Canada"""" and dated January 10, 2023..""",0,중립
(RTTNews) - KNOT Offshore Partners LP (KNOP) shares are falling more than 39 percent on Thursday morning trade after its board declared a quarterly cash distribution of $0.026 per common unit to be paid on February 9 to unitholders on record January 26.,1,호재
"InvestorPlace - Stock Market News, Stock Advice & Trading Tips",0,중립
"Bond traders are stars again on Wall Street. Fixed income, currencies and commodities (FICC) traders bolstered bank profits last year despite dreary deal markets. And traders who have navigated renewed market volatility are set to extend their winning streak, senior bankers told Reuters.",1,호재
"Shares of Aprea Therapeutics APRE were up 12% on Jan 11 after management announced that it dosed the first patient in a phase I/IIa study with its lead pipeline candidate ATRN-119, for the treatment of advanced solid tumors.",0,중립
"While the proven Zacks Rank places an emphasis on earnings estimates and estimate revisions to find strong stocks, we also know that investors tend to develop their own individual strategies. With this in mind, we are always looking at value, growth, and momentum trends t",1,호재
"The following are the top rated Healthcare stocks according to Validea's Patient Investor model based on the published strategy of Warren Buffett. This strategy seeks out firms with long-term, predictable profitability and low debt that trade at reasonable valuations.GENMAB A/S -",1,호재
"Shares of small-cap biotech firm Xeris (US:XERS) slipped -1% in trading on Thursday, hitting fresh new lows even with a positive outlook update from management.",1,호재
The following are today's upgrades for Validea's Low PE Investor model based on the published strategy of John Neff. This strategy looks for firms with persistent earnings growth that trade at a discount relative to their earnings growth and dividend yield.GREENE COUNTY BANCORP I,1,호재
(RTTNews) - The following are some of the stocks making big moves in Friday's pre-market trading (as of 07.40 A.M. ET).,0,중립
"Investors in Euronav NV EURN need to pay close attention to the stock based on moves in the options market lately. That is because the May 19, 2023 $4.00 Call had some of the highest implied volatility of all equity options today.",0,중립
"--Berenson Acquisition Corp. I today announced that the special meeting of stockholders of the Company, scheduled for 11:00 a.m. Eastern Time on January 10, 2023, was convened and then adjourned, without conducting any business, to recommence at 12:00 p.m. Eastern Time on February 7, 2023, as a virtual meeting via live webcast at...",0,중립
Technology stocks were advancing premarket Wednesday. The Technology Select Sector SPDR Fund (XLK) was up 0.5% and the iShares Semiconductor ETF (SOXX) was recently gaining 0.9%.,1,호재
(RTTNews) - Shares of Oramed Pharmaceuticals Inc. (ORMP) are falling more than 75% Thursday morning after the company's investigational drug ORMD-0801 for the treatment of Type 2 Diabetes failed in late-stage study.,2,악재
"In trading on Wednesday, trucking shares were relative leaders, up on the day by about 1.4%. Leading the group were shares of Daseke, up about 6.5% and shares of J.B. Hunt Transport Services up about 4.8% on the day.",0,중립
"Fintel reports that BlackRock Inc. has filed a 13G/A form with the SEC disclosing ownership of 5,301,853 shares of Tredegar Corporation (TG). This represents 15.6% of the company.",0,중립
(RTTNews) - The following are some of the stocks making big moves in Friday's pre-market trading (as of 07.15 A.M. ET).,0,중립
(RTTNews) - BiondVax Pharmaceuticals Ltd. (BVXV) announced additional results in a preclinical proof-of-concept study of its inhaled NanoAb COVID-19 drug. COVID-19 illness was virtually prevented in hamsters administered inhaled NanoAb and infected three hours later with SARS-CoV,0,중립
"Argentina's government reached a $540 million deal with development bank CAF for the extension of natural gas pipelines and related infrastructure linked to the country's Vaca Muerta basin, Economy Minister Sergio Massa announced on Wednesday.",0,중립
Fintel reports that Highbridge Capital Management Llc has filed a 13G/A form with the SEC disclosing ownership of 0.00MM shares of 26 Capital Acquisition Corp (ADER). This represents 0.0% of the company.,0,중립
_,0,중립
Fintel reports that ELI LILLY &amp; Co has filed a 13G/A form with the SEC disclosing ownership of 3.62MM shares of AC Immune SA (ACIU). This represents 4.3% of the company.,0,중립
"Five Star Bancorp said on January 20, 2023 that its board of directors declared a regular quarterly dividend of $0.15 per share ($0.60 annualized). Shareholders of record as of February 3, 2023 will receive the payment on February 13, 2023. Previously, the compan",1,호재
"Territorial Bancorp (TBNK) came out with quarterly earnings of $0.39 per share, missing the Zacks Consensus Estimate of $0.44 per share. This compares to earnings of $0.46 per share a year ago. These figures are adjusted for non-recurring items.",2,악재
Here's an eye-opening statistic: older Americans are more afraid of running out of money than of death itself.,0,중립
"""Most of us have heard the dictum """"the trend is your friend."""" And this is undeniably the key to success when it comes to short-term investing or trading. But it isn't easy to ensure the sustainability of a trend and profit from it.""",1,호재
The following are the top rated Financial stocks according to Validea's Small-Cap Growth Investor model based on the published strategy of Motley Fool. This strategy looks for small cap growth stocks with solid fundamentals and strong price performance.AMALGAMATED BANK (AMAL) is,1,호재
(RTTNews) - The following are some of the stocks making big moves in Thursday's pre-market trading (as of 06.50 A.M. ET).,0,중립
"""Most of us have heard the dictum """"the trend is your friend."""" And this is undeniably the key to success when it comes to short-term investing or trading. But it isn't easy to ensure the sustainability of a trend and profit from it.""",1,호재
(RTTNews) - The following are some of the stocks making big moves in Wednesday's pre-market trading (as of 07.05 A.M. ET).,0,중립
"Health care stocks were mostly higher Thursday afternoon, with the NYSE Health Care Index and the Health Care Select Sector SPDR Fund (XLV) rising about 0.5%.",0,중립
Technology stocks were leaning lower premarket Friday. The Technology Select Sector SPDR Fund (XLK) was down 0.7% and the iShares Semiconductor ETF (SOXX) was recently slipping past 1%.,0,중립
"The First Trust Water ETF is seeing unusually high volume in afternoon trading Friday, with over 121,000 shares traded versus three month average volume of about 44,000. Shares of FIW were up about 0.6% on the day.",0,중립
"(RTTNews) - MicroCloud Hologram Inc. (HOLO) shares are sliding more than 22 percent on Tuesday morning trade, after reaching the highest point yesterday. The shares have been on a bullish path since December end. There were no corporate announcements on the day to influence the s",1,호재
"Health care stocks were moderately higher Friday afternoon, with the NYSE Health Care Index rising 0.6% and the Health Care Select Sector SPDR Fund (XLV) up 0.5%.",0,중립
(RTTNews) - Shares of Oramed Pharmaceuticals Inc. (ORMP) are falling more than 75% Thursday morning after the company's investigational drug ORMD-0801 for the treatment of Type 2 Diabetes failed in late-stage study.,2,악재
The heat has been turned up for Pennsylvania headquartered bank AmeriServ Financial (US:ASRV) this week as the banking sector focused hedge fund Driver Management Co has taken aim at the group&#39;s management team.,1,호재
"Technology stocks were edging slightly lower on Tuesday, with the Technology Select Sector SPDR Fund (XLK) falling less than 0.1% and the Philadelphia Semiconductor Index 0.2% higher this afternoon.",2,악재
"""One of the most highly touted cryptos to debut in 2022 was Aptos (CRYPTO: APT), a Layer 1 blockchain network that some were calling """"the next Ethereum (CRYPTO: ETH)"""" and """"the next Solana (CRYPTO: SOL)"""" right out of the gate. The token came with a world-class developer team, treme""",0,중립
"Fintel reports that Millennium Management Llc has filed a 13G/A form with the SEC disclosing ownership of 1,716,723 shares of Project Energy Reimagined Acquisition Corp - Class A (PEGR). This represents 6.5% of the company.",0,중립
"Premier Foods plans to close a beverage manufacturing site in the UK, affecting about 300 jobs, the company said on Thursday, after reporting higher third-quarter sales on robust demand and new product launches.",0,중립
"On 1/19/23, Safe Bulkers Inc's 8.00% Series D Cumulative Redeemable Perpetual Preferred Shares (Symbol: SB.PRD) will trade ex-dividend, for its quarterly dividend of $0.50, payable on 1/30/23. As a percentage of SB.PRD's recent share price of $24.75, this dividend works out to",0,중립
"Southern States Bancshares, Inc. (SSBK) came out with quarterly earnings of $0.90 per share, beating the Zacks Consensus Estimate of $0.80 per share. This compares to earnings of $0.47 per share a year ago. These figures are adjusted for non-recurring items.",1,호재
"Fintel reports that BlackRock Inc. has filed a 13G/A form with the SEC disclosing ownership of 2,510,632 shares of PC Connection, Inc. (CNXN). This represents 9.6% of the company.",0,중립
"Bank OZK&rsquo;s OZK branch consolidation initiatives, along with solid loan balances, are expected to continue supporting top-line growth. Driven by higher interest rates, the company&rsquo;s margins are expected to improve in the near term.However, operating expenses might remain e",1,호재
Analyst Price Forecast Suggests 25.31% Upside,0,중립
"Washington Federal (WAFD) came out with quarterly earnings of $1.16 per share, beating the Zacks Consensus Estimate of $1.11 per share. This compares to earnings of $0.71 per share a year ago. These figures are adjusted for non-recurring items.",1,호재
"Thoma Bravo will buy Canadian software firm Magnet Forensics Inc in a C$1.8 billion ($1.34 billion) deal, the company said on Friday, as the private equity firm bolsters its cybersecurity portfolio to tap into rising demand.",0,중립
"UnitedHealth Group Incorporated UNH has reported fourth-quarter 2022 adjusted earnings of $5.34 per share, which beat the Zacks Consensus Estimate of $5.17 and our estimate of $5.13. The bottom line improved from $4.48 per share reported a year ago.",1,호재
"Consumer stocks were ending broadly mixed with the Consumer Staples Select Sector SPDR Fund (XLP) dropping 0.2%, while the Consumer Discretionary Select Sector SPDR Fund (XLY) rose 2.6%.",2,악재
(RTTNews) - Connected intelligence company CalAmp (CAMP) announced on Friday that it initiated a restructuring plan to reduce approximately eight percent of its employees across various functions.,0,중립
"Know Labs, Inc., an emerging developer of non-invasive medical diagnostic technology, today announced changes to its executive leadership team. The new structure will help the Company accelerate the development and delivery of its non-invasive medical diagnostics technology, Bio-RFID TM, and better position Know Labs for long-term growth and...",1,호재
"""Alberto Ardura stated that, """"we thank Mr. Aguirre and Mr. Hiatt for their highly valued insight and leadership as the Company actively searches for a business combination in the restaurant industry since its founding and IPO in 2021."""" The Company will broaden its targets to include industries outside restaurant operations. Both Mr. Aguirre and Mr. Hiatt wish the...""",0,중립
"Orion Energy Systems, Inc. OESX announced preliminary results for third-quarter fiscal 2023 that reflected project delays and slower-than-expected activity. The company also lowered its revenue expectation for the full year.Orion&rsquo;s shares declined 2.7% in the trading sess",2,악재
"The First of Long Island (FLIC) came out with quarterly earnings of $0.44 per share, missing the Zacks Consensus Estimate of $0.49 per share. This compares to earnings of $0.38 per share a year ago. These figures are adjusted for non-recurring items.",2,악재
"(RTTNews) - World View, a stratospheric exploration and flight provider Friday announced a definitive combination agreement with special purpose acquisition company Leo Holdings Corp. II (LHC).",0,중립
(RTTNews) - The following are some of the stocks making big moves in Monday's pre-market trading (as of 07.35 A.M. ET).,0,중립
"Investors in Accel Entertainment, Inc. ACEL need to pay close attention to the stock based on moves in the options market lately. That is because the Jan 20, 2023 $15 Call had some of the highest implied volatility of all equity options today.",0,중립
"The Western Union Company WU resumed its money remittance services to Cuba, following a two-year halt. The pilot program has started with limited capacity and the company is expected to expand operations in the future.",1,호재
"Autoliv, Inc. (ALV) came out with quarterly earnings of $1.83 per share, beating the Zacks Consensus Estimate of $1.54 per share. This compares to earnings of $1.30 per share a year ago. These figures are adjusted for non-recurring items.",1,호재
"In trading on Friday, shares of Ingles Markets Inc (Symbol: IMKTA) crossed below their 200 day moving average of $92.28, changing hands as low as $92.17 per share. Ingles Markets Inc shares are currently trading off about 2.6% on the day. The chart below shows the one year pe",0,중립
Here are five stocks added to the Zacks Rank #1 (Strong Buy) List today:,1,호재
Shares of Valneva VALN have dropped 61.5% in the trailing 12 months compared with the industry&rsquo;s 39.6% decline.,2,악재
"Given the fast-paced of the cryptocurrency market, it's essential to stay on top of the latest trends and news. One cryptocurrency that has recently gained traction is Aptos (CRYPTO: APT). This token is a relatively new addition to the crypto world but it has already made quite a",1,호재
"--NorthView Acquisition Corp, a publicly-traded special purpose acquisition company, and Profusa, Inc., a digital health company that is pioneering the next generation of personalized medicine, announced that NorthView filed a registration statement on Form S-4 with the U.S. Securities and Exchange Commission on January 25, 2023. Profusa is based in...",2,악재
"Shares of View, Inc. (VIEW) have been struggling lately and have lost 9.1% over the past two weeks. However, a hammer chart pattern was formed in its last trading session, which could mean that the stock found support with bulls being able to counteract the bears. So, it",0,중립
"The following are today's upgrades for Validea's Value Investor model based on the published strategy of Benjamin Graham. This deep value methodology screens for stocks that have low P/B and P/E ratios, along with low debt and solid long-term earnings growth.RESOURCES CONNECTION,",1,호재
"Airport stocks are rarely brought to the attention of retail investors. Yet, they can be marvelous investments due to their one-of-a-kind features. In this article, we are looking at three airport stocks whose unique qualities position them well for a potential takeoff in 2023. Particularly, Mexico-based Grupo Aeroportuario del Sureste ( NYSE: ASR ), Grupo Aeroportuario del Pacifico ( NYSE: PAC ), and Grupo Aeroportuario del Centro Norte ( NYSE: OMAB ) have been experiencing improvements in their financials over the past several quarters following the COVID-19 pandemic. Despite their shares trading near all-time high levels after outperforming the S&amp;P 500 ( SPX ) in the past year, their unique traits and attractive valuations could imply further upside in 2023, even though analysts don't expect upside from these stocks (see below). What Makes Airport Stocks Attractive Investments? Airports are totally unique assets that come with multiple attractive and investor-friendly characteristics. Let's go through three of the most significant traits that benefit airport stocks. 1. High-Quality, Diversified Revenues One of the most attractive characteristics of airports is that they enjoy high-quality revenues via multiple sources. Firstly, airports sign multi-year leases with airlines. These leases are usually long-term agreements that can provide a steady and predictable source of cash flow for the airport. Further, airports generate cash flows from a variety of other sources, including concessions, parking, and real estate rentals. Airlines are usually big, reputable businesses. Most are publicly traded, with transparent financials, while airports are incredibly critical for them to operate. Therefore, airports have minimal risks when it comes to collecting their rightful fees. Additionally, whether it comes from collecting car parking revenues, rental income from businesses operating within the airport, or other fees, these are high-margin cash flows with minimal operating costs. Airports provide the space and overall infrastructure but don't actually go through the hassle of operating these businesses directly, which makes for a great business model. 2. Growing Travel Demand The COVID-19 pandemic had a disastrous impact on the travel industry between 2020 and 2021. However, demand for travel has been rebounding, resulting in a growing demand for vacation and commercial trips. Flights generated revenues of just $36.4 billion in the U.S. in 2020, a massive drop from their pre-pandemic figure of $108.4 billion in 2019. With demand for travel rebounding strongly, flights are expected to generate revenues of $130.9 billion in 2023 - a new all-time high. Additionally, revenues are expected to grow by a CAGR of 3% through 2027. This means that airports are likely to be negotiating more leases with airlines, organically benefiting from the industry's growth without additional efforts. 3. Limited Investable Opportunities Finally, airport stocks benefit from the fact that there are only a few investable opportunities in the space. This makes them highly-attractive assets. This comes in two forms. Firstly, most airports around the world are wholly or partly owned by governments. Los Angeles International Airport (LAX) or Denver International Airport, for instance, are owned and operated by The City of Los Angeles and the City &amp; County of Denver, respectively. Thus, investors have no opportunity to invest in the bulk of the world's airports. Secondly, airports are highly regulated and have essentially no competition in their respective markets. It's not like a potential competitor can go and build an airport next to an existing one and compete. Besides, they require enormous capital expenditures to contrast. In any case, this is also another reason why investors have very limited options when it comes to gaining exposure to airports, which makes the existing publicly-traded stocks like ASR, PAC, and OMAB highly scarce and attractive assets. Takeaway: Why are These Airport Stocks Worth Considering? Besides the attractive characteristics attached to airport stocks, as just discussed, ASR, PAC, and OMAB have multiple charming features on their own, which makes them attractive investments worth considering. Firstly, they are the biggest publicly-traded companies in the space, with exposure to multiple assets. I mentioned that airports benefit from diversified cash flows; ASR, PAC, and OMAB, each own nine, 12, and 13 airports, respectively. Further, the companies have a consistent history of generating sustainable profits and returning capital to shareholders due to their multiples qualities, as mentioned earlier. OMAB stock financials The combination of growing profits which has resulted in share price gains and hefty dividends has resulted in ASR, PAC, and OMAB stocks recording total returns of 353.2%, 322.2%, and 181.6%, respectively, over the past decade. Regarding their dividends, it's worth noting that while ASR, PAC, and OMAB do not have consistent track records, they do tend to grow their payouts in line with their profits. Unless you really value consistency when it comes to dividend growth, they should still serve adequately when it comes to growing your income over time. Finally, despite their shares trading near all-time high levels, all three stocks appear to be quite attractively priced. Specifically, ASR, PAC, and OMAB are currently trading at forward P/E ratios of 13.8x, 14.5x, and 16.4x, respectively. These multiples are below their historical averages. Regardless, I find these multiples very cheap, considering the positive qualities attached to airport stocks. Thus, I believe all three stocks have strong prospects to keep flying higher through 2023. Disclosure",1,호재
Investors looking for stocks in the Insurance - Multi line sector might want to consider either Zurich Insurance Group Ltd. (ZURVY) or Prudential (PUK). But which of these two stocks is more attractive to value investors? We'll need to take a closer look to find out.,0,중립
"InvestorPlace - Stock Market News, Stock Advice & Trading Tips",0,중립
"Healthcare stocks were hanging on for slim gains Monday, with the NYSE Health Care Index rising 0.1% and the Health Care Select Sector SPDR Fund (XLV) up 0.2%.",1,호재
Technology stocks were gaining pre-bell Monday. The Technology Select Sector SPDR Fund (XLK) was 0.6% higher and the iShares Semiconductor ETF (SOXX) was recently rising past 1%.,1,호재
"Health care stocks were mostly lower Friday afternoon, with the NYSE Health Care Index sinking 0.3% and the Health Care Select Sector SPDR Fund (XLV) were falling 0.7%.",2,악재
"Here are three stocks with buy rank and strong momentum characteristics for investors to consider today, January 10th:",1,호재
The following are today's upgrades for Validea's Small-Cap Growth Investor model based on the published strategy of Motley Fool. This strategy looks for small cap growth stocks with solid fundamentals and strong price performance.UNITED STATES LIME &amp; MINERALS INC (USLM) is a,1,호재
Darktrace shares plunged as much as 10% on Tuesday after a short-selling fund questioned the British cybersecurity company's financial statements.,2,악재
"Here at Zacks, we focus on our proven ranking system, which places an emphasis on earnings estimates and estimate revisions, to find winning stocks. But we also understand that investors develop their own strategies, so we are constantly looking at the latest trends in va",0,중립
"""One of the most highly touted cryptos to debut in 2022 was Aptos (CRYPTO: APT), a Layer 1 blockchain network that some were calling """"the next Ethereum (CRYPTO: ETH)"""" and """"the next Solana (CRYPTO: SOL)"""" right out of the gate. The token came with a world-class developer team, treme""",0,중립
There's an uncomfortable feeling in markets this week that good news may be bad news once again - mainly because of what the former means for this week's big central banking set pieces.,1,호재
Fintel reports that Highbridge Capital Management has filed a 13G/A form with the SEC disclosing ownership of 1.78MM shares of (ENER). This represents 6.83% of the company.,0,중립
"As the saying goes, there are many possible reasons for an insider to sell a stock, but only one reason to buy -- they expect to make money. So let's look at two noteworthy recent insider buys.",0,중립
"Financial stocks were declining pre-bell Tuesday as the Financial Select Sector SPDR Fund (XLF) was recently 0.28% lower. The Direxion Daily Financial Bull 3X Shares (FAS) was down 0.80%, and bearish counterpart Direxion Daily Financial Bear 3X Shares (FAZ) was unchanged.",2,악재
"Australian shares on Wednesday rebounded from a two-month low hit in the previous session, led by gains in banking and mining stocks, while investors awaited minutes from the U.S. Federal Reserve's last meeting.",1,호재
"Looking at the universe of stocks we cover at Dividend Channel, on 1/27/23, AZZ Inc (Symbol: AZZ), ONEOK Inc (Symbol: OKE), and EnLink Midstream LLC (Symbol: ENLC) will all trade ex-dividend for their respective upcoming dividends. AZZ Inc will pay its quarterly dividend of $0",0,중립
It's rare to see two bad years in a row. I have a hunch that 2023 may rhyme with 2009. Bear markets don't usually last longer than a year. A spectacular shakeout early in the year could set the stage for a steady grind higher later on.,0,중립
